t,acc
37.94169230769239,13.55962
37.95130769230809,13.232964
37.960000000000036,12.875231
37.96961538461528,12.4800825
37.97923076923098,12.061337
37.988846153846225,11.660016
37.99846153846147,11.411668
38.00807692307717,11.03209
38.017692307692414,10.675154
38.02730769230811,10.548801
38.034999999999854,10.466039
38.0446153846151,10.442777
38.0542307692308,10.336756
38.06384615384604,10.216451
38.07346153846129,10.340296
38.08307692307699,10.283835
38.09269230769223,10.293108
38.10230769230793,10.277072
38.110999999999876,10.214036
38.12061538461512,10.131048
38.13023076923082,10.047413
38.139846153846065,9.8466835
38.14946153846131,9.692457
38.15907692307701,9.677931
38.168692307692254,9.604391
38.17830769230795,9.307167
38.1869999999999,9.074138
38.19661538461514,9.039463
38.20623076923084,8.978268
38.21584615384609,8.881601
38.22546153846133,8.710927
38.23507692307703,8.58189
38.244692307692276,8.504603
38.254307692307975,8.356303
38.26299999999992,8.260822
38.27261538461562,8.082471
38.282230769230864,7.9655104
38.29184615384611,7.6905193
38.3014615384609,7.5245085
38.31107692307705,7.3176217
38.3206923076923,7.2186346
38.330307692308,7.0537724
38.33899999999994,7.0511007
38.34861538461564,7.086259
38.358230769230886,7.157482
38.36784615384613,7.301471
38.37746153846092,7.293621
38.387076923077075,7.2628503
38.39669230769232,7.1703477
38.40630769230802,7.1853547
38.414999999999964,7.132322
38.42461538461566,7.0455704
38.43423076923091,6.7556043
38.44384615384615,6.537068
38.45346153846094,6.337635
38.4630769230771,6.0529885
38.47269230769234,5.815758
38.48230769230804,5.5899205
38.490999999999985,5.448394
38.500615384615685,5.3694253
38.51023076923093,5.163905
38.519846153846174,4.930411
38.529461538460964,4.6714997
38.53907692307712,4.58876
38.54869230769236,4.471353
38.55830769230806,4.428218
38.56700000000001,4.3037095
38.57661538461571,4.1764665
38.58623076923095,4.0120697
38.595846153846196,3.9194248
38.605461538460986,3.8468578
38.615076923076685,3.7658932
38.624692307692385,3.605636
38.634307692308084,3.5269008
38.641999999999825,3.4757104
38.65161538461507,3.4595757
38.66123076923077,3.4737258
38.670846153846014,3.5115197
38.68046153846126,3.5490515
38.69007692307696,3.7016134
38.6996923076922,3.9640577
38.70930769230745,4.1785855
38.71900000000005,4.3981247
38.728615384615296,4.580999
38.738230769230995,4.7839465
38.74784615384624,5.034519
38.757461538461484,5.1446824
38.767076923077184,5.343606
38.77669230769243,5.4406414
38.78630769230813,5.502006
38.79500000000007,5.566256
38.80461538461532,5.6947765
38.81423076923102,5.852265
38.82384615384626,5.907035
38.833461538461506,5.936147
38.843076923077206,6.1049724
38.85269230769245,6.2986703
38.862307692307695,6.5260563
38.871000000000095,6.7090526
38.88061538461534,6.8126183
38.89023076923104,6.943391
38.89984615384628,7.164201
38.90946153846153,7.2765174
38.91907692307723,7.3084693
38.92869230769293,7.384088
38.93830769230772,7.472699
38.94599999999991,7.444811
38.95561538461561,7.466167
38.96523076923086,7.7154694
38.9748461538461,7.799177
38.98446153846089,8.026628
38.994076923077046,8.074741
39.00369230769229,8.260022
39.01330769230799,8.425042
39.021999999999935,8.595
39.031615384615634,8.760031
39.04123076923088,8.841137
39.05084615384612,8.895128
39.06046153846091,8.872262
39.07007692307707,9.028403
39.07969230769231,9.009007
39.08930769230801,9.150724
39.097999999999956,9.222666
39.107615384615656,9.416866
39.1172307692309,9.600503
39.126846153846145,9.7853
39.136461538460935,10.014756
39.14607692307709,10.133946
39.155692307692334,10.187756
39.16530769230803,10.1970005
39.17499999999973,10.161947
39.18461538461497,10.148752
39.19423076923067,10.077933
39.203846153845916,10.101498
39.21346153846116,10.060444
39.22307692307686,10.144542
39.232692307692105,10.200148
39.24230769230735,10.211645
39.25,10.286244
39.2596153846157,10.334897
39.269230769230944,10.2448
39.27884615384619,10.254129
39.28846153846098,10.371923
39.29807692307668,10.252677
39.30769230769238,10.062609
39.31730769230808,10.024126
39.32600000000002,10.010476
39.33561538461572,10.040238
39.345230769230966,9.951208
39.35484615384621,9.89683
39.364461538461,9.865244
39.3740769230767,9.916146
39.3836923076924,9.902187
39.3933076923081,10.025132
39.402000000000044,10.216172
39.41161538461529,10.237067
39.42123076923099,10.302482
39.43084615384623,10.351077
39.44046153846148,10.52803
39.45007692307718,10.596528
39.45969230769242,10.680225
39.46930769230812,10.733711
39.478000000000065,10.770093
39.48761538461531,10.897935
39.49723076923101,11.116245
39.506846153846254,11.203121
39.5164615384615,11.63587
39.5260769230772,11.922125
39.53569230769244,12.195476
39.54530769230769,12.587022
39.55400000000009,13.076075
39.56361538461533,13.477256
39.57323076923103,13.855668
39.582846153846276,14.100751
39.59246153846152,14.380218
39.60207692307722,14.562049
39.61169230769292,14.615345
39.62130769230771,14.593253
39.63000000000011,14.595613
39.639615384615354,14.384506
39.64923076923105,14.017089
39.6588461538463,13.653596
39.66846153846154,13.310223
39.67807692307724,12.97801
39.68769230769249,12.635146
39.69730769230773,12.328368
39.70600000000013,11.998999
39.715615384615376,11.661455
39.725230769231075,11.495393
39.73484615384632,11.3771
39.744461538461564,11.257184
39.754076923077264,11.13386
39.76369230769251,11.004593
39.77330769230775,10.883398
39.78099999999995,10.824116
39.79061538461565,10.724409
39.80023076923089,10.670435
39.80984615384614,10.553446
39.81946153846093,10.353088
39.82907692307708,10.224335
39.83869230769233,10.120918
