,t,acc
2213,21.002076923076856,5.7853475
2214,21.0116923076921,5.8147154
2215,21.021307692307342,5.8002496
2216,21.029999999999745,5.81388
2217,21.03961538461499,5.825461
2218,21.04923076923069,5.7594466
2219,21.05884615384593,5.8009057
2220,21.06846153846118,5.7381883
2221,21.07807692307688,5.7983556
2222,21.087692307692123,5.698953
2223,21.097307692307368,5.687046
2224,21.105000000000015,5.6833744
2225,21.11461538461572,5.5663686
2226,21.12423076923096,5.4695153
2227,21.133846153846207,5.341587
2228,21.143461538461,5.317334
2229,21.153076923076696,5.244969
2230,21.1626923076924,5.1702785
2231,21.17230769230809,5.05999
2232,21.18100000000004,4.956907
2233,21.190615384615285,4.886568
2234,21.200230769230984,4.8420653
2235,21.20984615384623,4.775723
2236,21.219461538461477,4.784426
2237,21.229076923077173,4.893517
2238,21.238692307692418,5.02911
2239,21.24830769230812,5.265563
2240,21.25799999999981,5.4262385
2241,21.267615384615056,5.567894
2242,21.277230769230755,5.7344966
2243,21.286846153846,5.912153
2244,21.296461538461244,6.114755
2245,21.306076923076944,6.318433
2246,21.31569230769219,6.3528028
2247,21.325307692307437,6.3754234
2248,21.333999999999836,6.5044503
2249,21.34361538461508,6.545982
2250,21.353230769230777,6.619588
2251,21.36284615384602,6.660817
2252,21.372461538461263,6.7666044
2253,21.38207692307697,6.7393093
2254,21.39169230769221,6.734931
2255,21.40130769230745,6.5323615
2256,21.409000000000106,6.4078193
2257,21.41861538461535,6.352923
2258,21.42823076923105,6.430286
2259,21.43784615384629,6.4279118
2260,21.44746153846154,6.5025487
2261,21.45707692307724,6.293337
2262,21.466692307692483,6.3291125
2263,21.476307692307728,6.3102922
2264,21.485000000000127,6.442749
2265,21.49461538461537,6.729995
2266,21.50423076923107,6.9002724
2267,21.51384615384632,6.9654617
2268,21.52346153846156,6.967671
2269,21.53307692307726,7.0193706
2270,21.542692307692505,7.1660724
2271,21.55230769230775,7.3426867
2272,21.56099999999969,7.534399
2273,21.57061538461494,7.5696487
2274,21.58023076923064,7.6030436
2275,21.589846153845883,7.704254
2276,21.599461538461128,8.0027
2277,21.609076923076827,8.0626745
2278,21.618692307692072,8.135538
2279,21.62830769230732,8.048024
2280,21.63699999999972,8.10785
2281,21.64661538461496,8.129155
2282,21.65623076923066,8.099709
2283,21.665846153845905,8.001149
2284,21.67546153846069,7.9826536
2285,21.68507692307685,7.9143114
